;occurrence;novelty;popularity;user_reaction
Blondes;38773;2024;76118.8613984;11.1517292962
Matures;48096;18276;227987.359281;17.1769169993
Ladyboys;7231;889;34086.3379892;14.2904162633
Threesomes;17663;895;76983.5371115;10.3123478458
MILFs;36359;4176;124834.290134;13.1587227371
Gaping;2959;15;69688.9675566;14.5876985468
Public Nudity;16568;3586;122422.116248;13.4869628199
Amateur;223139;223139;75899.445041;11.1397873075
French;9071;165;144968.606769;10.7705875868
Foot Fetish;8733;1299;36683.399061;8.64674224207
Black Gays;4834;293;44702.656806;11.8529168391
Handjobs;13662;795;100945.367003;14.0461865027
Gangbang;7353;157;112268.522916;16.2143342853
Thai;1192;32;138357.319631;11.6124161074
Italian;3696;122;198778.810335;10.4318181818
Midgets;397;29;205745.410579;20.6649874055
Facials;23114;412;80812.0692221;13.3003374578
Redheads;7760;99;85295.3646907;14.1680412371
Czech;1538;8;118390.360858;10.5123537061
Hidden Cams;16270;1052;112823.562508;10.4579594345
Fingering;12266;199;72882.8740421;12.1919126039
Femdom;9941;3688;78118.3868826;14.0624685645
Sex Toys;25276;837;57278.9228517;11.7862003482
Swedish;683;18;103734.961933;8.93265007321
Nipples;3771;75;121311.629011;14.9878016441
Face Sitting;2331;58;79764.0965251;12.6048906049
Vintage;20647;7040;139725.878287;11.0565215286
Bisexuals;3928;1140;95572.0707739;18.4126782077
Flashing;9406;465;82577.83872;12.2127365511
Danish;699;12;110808.051502;9.93419170243
Blowjobs;65050;23968;66269.6060876;11.0605380477
Pornstars;37837;12727;74474.2601422;10.6589845918
Men;137197;137197;11464.5493487;5.95617979985
Hardcore;75250;58342;99241.2540066;12.0822059801
Voyeur;21780;7969;67292.1018825;8.96363636364
Lingerie;6034;125;58339.638051;9.07838912827
Cartoons;1542;504;111986.512322;8.41504539559
Massage;3073;105;202668.22356;14.2434103482
Webcams;39116;5378;41350.8091829;7.86642294713
Chinese;892;8;109769.190583;8.83968609865
Celebrities;8858;3325;101317.596862;6.71043124859
Babysitters;672;9;176137.985119;14.5729166667
Gothic;661;22;51842.7760968;11.8638426626
Hentai;1031;95;90070.7264791;5.31910766246
Big Boobs;53226;33080;94625.5190884;13.3691241123
Lesbians;35150;22388;95759.539431;12.1176102418
Turkish;2281;176;179369.688733;15.0162209557
Stockings;15326;2247;104456.012919;12.908325721
Indian;4257;593;172355.579986;8.73807845901
Tits;21167;651;96761.2231776;12.5699437804
Brazilian;3813;142;72777.2806189;7.37136113297
Bukkake;2980;98;79793.1302013;15.6466442953
Korean;947;11;229476.746568;7.72650475185
Close-ups;13611;264;59608.406289;11.3830725149
Grannies;7157;242;264877.150063;18.7293558754
Russian;6798;144;150480.893939;11.1165048544
Emo;1046;13;61022.2600382;12.0382409178
Group Sex;21229;2881;144351.452259;14.5225399218
Interracial;31676;5556;76177.663878;14.3815191312
Latin ;16116;537;51171.0243237;8.73095060809
BBW;33421;6861;80180.009126;15.5797253224
Strapon;4431;153;89081.3511623;17.75671406
Masturbation;51976;20154;62194.9783362;11.5596429121
Squirting;7218;316;92004.3826545;16.2285951787
German;13000;359;178079.180462;16.4163076923
Shemales;21688;21608;56481.1282276;17.6638694209
Spanking;3511;174;82186.8199943;12.5431500997
Showers;3520;96;72318.9741477;10.9232954545
Cream Pie;10370;480;127392.501446;17.7255544841
Funny;4876;385;139412.082855;14.4942575882
Babes;44389;9948;69212.8078127;9.86393025299
Teens;76688;34917;100238.320832;12.0877060296
Upskirts;11629;2948;50952.2196234;8.1200447158
Beach;3534;235;157846.273911;13.1010186757
Swingers;3086;60;200919.482826;15.2342838626
Hairy;13836;1168;145840.199552;14.3141081237
POV;10654;182;58611.0621363;10.6415430824
Arab;4421;766;208122.523411;8.23501470256
Latex;2756;85;53206.2623367;10.0783744557
Softcore;7330;308;59085.2867667;7.03383356071
British;7383;112;85148.0537722;13.9440606799
Gays;41613;15371;34390.1282772;9.06077427727
Anal;63762;41527;98171.9977573;13.3487343559
Old+Young;12534;741;241031.496569;16.7149353758
Cumshots;46734;8206;85760.0864467;13.5925878375
Double Penetration;8972;252;66585.0572893;12.5722246991
Brunettes;30405;1709;72669.6055912;10.9766485775
Cuckold;6402;208;143881.002812;20.9706341768
Japanese;18341;1544;179247.343547;8.98287988659
Asian;34402;15553;126936.758822;9.57758269868
BDSM;15214;6349;90571.4365716;13.706783226
Black and Ebony;32716;2543;73361.2397604;12.8207604842
